id,tipo,valor,origen,destino,intentos,fechaEntrega,tipoCamion,estado
BE785,prioritario,8,pyme,casa-E,0,,Retails 1,En proceso de entrega
PF654,prioritario,50,pyme,casa-B,0,,Retails 1,En proceso de entrega
DE654,prioritario,11,pyme,casa-V,0,,Retails 1,En proceso de entrega
DE786,prioritario,15,pyme,casa-Z,0,,Retails 1,En proceso de entrega
GG458,prioritario,3,pyme,casa-C,0,,Retails 1,En proceso de entrega
SA5698PO,retail,110,tienda-C,casa-C,0,,Retails 1,En proceso de entrega
SA5897AS,retail,95,tienda-A,casa-D,0,,Retails 1,En proceso de entrega
SA1589GD,retail,100,tienda-B,casa-Q,0,,Retails 1,En proceso de entrega
SA8859SS,retail,15,tienda-C,casa-A,0,,Retails 1,En proceso de entrega
SA1597EF,retail,20,tienda-A,casa-F,0,,Retails 1,En proceso de entrega
SA3574FG,retail,120,tienda-B,casa-U,0,,Retails 1,En proceso de entrega
SA1937JH,retail,6,tienda-C,casa-N,0,,Retails 1,En proceso de entrega
SA5648AA,retail,80,tienda-B,casa-A,0,,Retails 1,En proceso de entrega
